scenario,realization,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow
S3_BUFF,real_0074,30.78407106567861,8.409416264746724,26.0,55257.3360435382
S3_BUFF,real_0075,25.033711224155624,4.144791047530113,26.0,43649.79918939242
S3_BUFF,real_0076,28.040741201656477,1.5968237368671723,41.0,31235.351911413163
S3_BUFF,real_0077,20.68283348459719,1.6936171468025876,26.0,39348.98057853799
S3_BUFF,real_0078,21.729578569762115,0.9389585036842547,34.0,33334.09928338772
S3_BUFF,real_0079,24.080485574329384,1.984662682446512,37.0,29562.180288828567
S3_BUFF,real_0080,33.42813594019992,3.6796418960001844,38.0,38212.8688388687
S3_BUFF,real_0081,32.057495762486255,1.2482352049763463,45.0,30113.535234601284
S3_BUFF,real_0083,29.697318971663442,0.9482321388313224,45.0,30373.767421254062
S3_BUFF,real_0084,33.41845010141037,1.3428553231957139,37.0,36630.59659815235
S3_BUFF,real_0085,27.707332183995096,4.59991402342358,14.0,71738.82083304107
S3_BUFF,real_0086,25.947235866799822,0.9803894893122589,72.0,22030.207362485984
S3_BUFF,real_0087,13.827407362320056,0.6146591614878503,43.0,15534.603396094302
S3_BUFF,real_0088,40.322191362573605,1.2849536496231977,30.0,48604.79962328242
S3_BUFF,real_0089,21.399862175700303,2.277941983754502,20.0,44443.93851019195
S3_BUFF,real_0090,23.84967758585883,3.5049494705490645,24.0,42458.497912425184
S3_BUFF,real_0091,29.534441434003472,2.628032532335915,32.0,35674.01658414289
S3_BUFF,real_0092,41.98162991169062,3.0529672792858733,29.0,50525.577620202894
S3_BUFF,real_0093,28.646394364814817,2.5757798407512382,33.0,40634.0865219875
S3_BUFF,real_0094,36.41188766913,17.17708005016981,28.0,56705.954679429786
S3_BUFF,real_0095,33.83750159321254,9.63170992457701,31.0,49523.360548664976
S3_BUFF,real_0096,34.88917273956081,1.2370315768655615,65.0,24765.076355031597
S3_BUFF,real_0097,26.285081353073696,7.287145782398262,30.0,39666.63141950354
S3_BUFF,real_0098,43.196547754914164,3.4038361609572476,37.0,59542.08451570106
S3_BUFF,real_0099,23.780641685312904,5.240143722946797,30.0,43553.1640939518
S6_UPRISK,real_0002,32.20055642882764,4.311069846421219,23.0,57292.68415051933
S6_UPRISK,real_0003,29.733054583356846,4.847142135544786,18.0,72967.50243064847
S6_UPRISK,real_0006,46.59694234110464,11.064151529630305,32.0,62301.63935258917
S6_UPRISK,real_0007,33.637046169251995,2.934752622925707,20.0,78297.82951014435
S6_UPRISK,real_0010,17.36048366790376,0.5082843509095483,40.0,22970.073265300703
S6_UPRISK,real_0011,31.89106847499876,3.024811266626905,27.0,46908.707267903825
S6_UPRISK,real_0012,33.95194693475006,1.8850293849427189,42.0,34803.75146854948
S6_UPRISK,real_0014,37.691694244249774,4.575953973506138,23.0,66530.94459032515
S6_UPRISK,real_0015,34.98249859743301,4.473161107973269,29.0,44070.187627958854
S6_UPRISK,real_0017,30.974770516869896,8.564865057922297,21.0,64329.025590864265
S6_UPRISK,real_0018,33.16462043540592,4.992625893631569,22.0,60026.06651398879
S6_UPRISK,real_0019,32.5699393924112,4.399375610837318,28.0,49405.06288540254
S6_UPRISK,real_0020,21.805952929330704,0.8954519991159273,22.0,49121.84525881872
S6_UPRISK,real_0021,31.35598496119946,1.2135694469687905,18.0,76183.22190951683
S6_UPRISK,real_0025,29.682967772457854,0.7052825237779743,46.0,26375.893471343552
